Chosen atom: Atom: Y2, Position: [-2.206227  2.54016   1.972179]

((8.15612, 12.5328, -2.69396), 1/2, -0.2748308, 'Y1')
((10.66245, -10.08, -3.94436), 1/2, -0.2748308, 'Y2')
((10.66245, 10.08, -3.94436), 1/2, -0.2748308, 'Y2')
((-0.92454, 5.90688, 13.9984), 1/2, -0.2748308, 'Y1')
((-4.34388, -14.3472, -2.69396), 1/2, -0.2748308, 'Y1')
((-14.33755, -3.36, -3.94436), 1/2, -0.2748308, 'Y2')
((-14.33755, 3.36, -3.94436), 1/2, -0.2748308, 'Y2')
((15.00633, 2.4528, -1.2504), 1/2, -0.2748308, 'Y1')
((9.29975, 9.26688, -7.77689), 1/2, -0.2748308, 'Y1')
((-9.45025, 9.1728, -7.77689), 1/2, -0.2748308, 'Y1')
((-6.03092, -10.89312, 8.91547), 1/2, -0.2748308, 'Y1')
((-8.30663, -0.81312, -12.85982), 1/2, -0.2748308, 'Y1')
((-5.8003, 1.63968, -14.11023), 1/2, -0.2748308, 'Y2')
((-7.77475, -4.17312, 12.55485), 1/2, -0.2748308, 'Y1')
((-12.28092, 2.4528, 8.91547), 1/2, -0.2748308, 'Y1')
((4.79358, 9.1728, -11.41627), 1/2, -0.2748308, 'Y1')
((12.11887, 5.90688, 7.47191), 1/2, -0.2748308, 'Y1')
((-13.64362, -5.08032, 5.08293), 1/2, -0.2748308, 'Y2')
((13.64362, -5.08032, -5.08294), 1/2, -0.2748308, 'Y2')
((4.19337, -7.53312, -12.85982), 1/2, -0.2748308, 'Y1')
((6.46908, -10.89312, 8.91547), 1/2, -0.2748308, 'Y1')
((-2.98117, -15.16032, 1.13858), 1/2, -0.2748308, 'Y2')
((13.86271, 5.90688, 3.83253), 1/2, -0.2748308, 'Y1')
((-15.48117, -1.72032, 1.13858), 1/2, -0.2748308, 'Y2')
((-1.52475, 9.1728, 12.55485), 1/2, -0.2748308, 'Y1')
((-4.88729, -14.3472, 3.83253), 1/2, -0.2748308, 'Y1')
((15.00633, -4.2672, -1.2504), 1/2, -0.2748308, 'Y1')
((11.80608, 4.99968, -9.02729), 1/2, -0.2748308, 'Y2')
((6.6997, 1.63968, -14.11023), 1/2, -0.2748308, 'Y2')
((3.43087, 1.63968, -15.2488), 1/2, -0.2748308, 'Y2')
((-3.43087, 1.63968, 15.2488), 1/2, -0.2748308, 'Y2')
((12.71908, 2.4528, 8.91547), 1/2, -0.2748308, 'Y1')
((5.86887, 12.5328, 7.47191), 1/2, -0.2748308, 'Y1')
((-8.53725, -8.44032, 10.16587), 1/2, -0.2748308, 'Y2')
((8.53725, -8.44032, -10.16587), 1/2, -0.2748308, 'Y2')
((-7.17454, -0.9072, 13.9984), 1/2, -0.2748308, 'Y1')
((-12.28092, -4.2672, 8.91547), 1/2, -0.2748308, 'Y1')
((14.40612, 5.90688, -2.69396), 1/2, -0.2748308, 'Y1')
((15.76883, 0.0, 1.13858), 1/2, -0.2748308, 'Y2')
((-1.45642, -10.89312, -11.41627), 1/2, -0.2748308, 'Y1')
